"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
0,0,0,1,2,0.2,3.1225e-17,0
-0,0,0,1,2,0.2,3.1225e-17,0.0045556
-0,0,0,1,2,0.2,3.1225e-17,0.0091111
-0,0,0,1,2,0.2,3.1225e-17,0.013667
-0,0,0,1,2,0.2,3.1225e-17,0.018222
-0,0,0,1,2,0.2,3.1225e-17,0.022778
-1.3032e-43,0,0,1,2,0.2,3.1225e-17,0.027333
4.9477e-40,0,0,1,2,0.2,3.1225e-17,0.031889
1.3015e-36,0,0,1,2,0.2,3.1225e-17,0.036444
5.1669e-34,0,0,1,2,0.2,3.1225e-17,0.041
6.7403e-32,0,0,1,2,0.2,3.1225e-17,0.045556
3.9383e-30,0,0,1,2,0.2,3.1225e-17,0.050111
1.2449e-28,0,0,1,2,0.2,3.1225e-17,0.054667
2.4231e-27,0,0,1,2,0.2,3.1225e-17,0.059222
3.1902e-26,0,0,1,2,0.2,3.1225e-17,0.063778
3.0488e-25,0,0,1,2,0.2,3.1225e-17,0.068333
2.233e-24,0,0,1,2,0.2,3.1225e-17,0.072889
1.308e-23,0,0,1,2,0.2,3.1225e-17,0.077444
6.3396e-23,0,0,1,2,0.2,3.1225e-17,0.082
2.6133e-22,0,0,1,2,0.2,3.1225e-17,0.086556
9.3698e-22,0,0,1,2,0.2,3.1225e-17,0.091111
2.9766e-21,0,0,1,2,0.2,3.1225e-17,0.095667
8.1021e-21,0,0,1,2,0.2,3.1225e-17,0.1
8.4344e-21,0,0,1,2,0.2,3.1225e-17,0.10018
2.1994e-20,0,0,1,2,0.2,3.1225e-17,0.10474
5.2847e-20,0,0,1,2,0.2,3.1225e-17,0.10929
1.181e-19,0,0,1,2,0.2,3.1225e-17,0.11385
2.4744e-19,0,0,1,2,0.2,3.1225e-17,0.1184
4.8937e-19,0,0,1,2,0.2,3.1225e-17,0.12296
9.1898e-19,0,0,1,2,0.2,3.1225e-17,0.12752
1.6471e-18,0,0,1,2,0.2,3.1225e-17,0.13207
2.8303e-18,0,0,1,2,0.2,3.1225e-17,0.13663
4.681e-18,0,0,1,2,0.2,3.1225e-17,0.14118
7.4771e-18,0,0,1,2,0.2,3.1225e-17,0.14574
1.157e-17,0,0,1,2,0.2,3.1225e-17,0.15029
1.7392e-17,0,0,1,2,0.2,3.1225e-17,0.15485
2.5455e-17,0,0,1,2,0.2,3.1225e-17,0.1594
3.6353e-17,0,0,1,2,0.2,3.1225e-17,0.16396
5.0756e-17,0,0,1,2,0.2,3.1225e-17,0.16852
6.9398e-17,0,0,1,2,0.2,3.1225e-17,0.17307
9.3067e-17,0,0,1,2,0.2,3.1225e-17,0.17763
1.2258e-16,0,0,1,2,0.2,3.1225e-17,0.18218
1.5877e-16,0,0,1,2,0.2,3.1225e-17,0.18674
2.0246e-16,0,0,1,2,0.2,3.1225e-17,0.19129
2.5442e-16,0,0,1,2,0.2,3.1225e-17,0.19585
3.0957e-16,0,0,1,2,0.2,3.1225e-17,0.2
3.1479e-16,0,0,1,2,0.2,3.1225e-17,0.20036
3.8526e-16,0,0,1,2,0.2,3.1225e-17,0.20492
4.6583e-16,0,0,1,2,0.2,3.1225e-17,0.20948
5.5687e-16,0,0,1,2,0.2,3.1225e-17,0.21403
6.5858e-16,0,0,1,2,0.2,3.1225e-17,0.21859
7.7097e-16,0,0,1,2,0.2,3.1225e-17,0.22314
8.9388e-16,0,0,1,2,0.2,3.1225e-17,0.2277
1.0269e-15,0,0,1,2,0.2,3.1225e-17,0.23225
1.1695e-15,0,0,1,2,0.2,3.1225e-17,0.23681
